data,index_price,equity,margin_required,bid,ask
02/11/2020 07:35:38.069,5259,5000.29,4997.69,1.0911,1.09111
02/11/2020 07:59:43.723,5260,4999.96,4996.06,1.09143,1.09143
02/11/2020 08:05:24.855,5261,5000.89,4996.99,1.09111,1.09112
02/11/2020 08:12:10.733,5262,5001.53,4996.33,1.09078,1.09079
02/11/2020 08:53:05.076,5263,5000,5000.00,1.09111,1.09111
02/11/2020 09:14:43.332,5264,4999.69,4998.39,1.09142,1.09142
02/11/2020 09:44:24.955,5265,5000.31,4997.71,1.0911,1.09111
02/11/2020 09:54:56.254,5266,4999.98,4996.08,1.09143,1.09143
02/11/2020 10:02:21.111,5267,5000.91,4997.01,1.09111,1.09112
02/11/2020 10:07:07.344,5268,5000.26,4995.06,1.09144,1.09144
02/11/2020 10:32:55.650,5269,4999.02,4993.82,1.09175,1.09175
02/11/2020 11:09:28.194,5270,4997.47,4990.97,1.09206,1.09206
02/11/2020 11:16:36.652,5271,4999.39,4991.59,1.09175,1.09174
02/11/2020 11:45:35.892,5272,5000.92,4991.82,1.09142,1.09143
02/11/2020 12:55:27.965,5273,5000.26,4997.66,1.0911,1.0911
02/11/2020 12:58:57.429,5274,4999.33,4995.43,1.09079,1.09079
02/11/2020 13:03:37.893,5275,4998.05,4994.15,1.09047,1.09048
02/11/2020 13:14:32.378,5276,4998.02,4994.12,1.09015,1.09015
02/11/2020 13:17:22.550,5277,5000.54,4995.34,1.09046,1.09046
02/11/2020 13:25:21.963,5278,4999.61,4993.11,1.09015,1.09015
02/11/2020 13:29:50.436,5279,4998.01,4992.81,1.08983,1.08984
02/11/2020 13:32:47.544,5280,4997.66,4992.46,1.08951,1.08951
02/11/2020 13:35:13.331,5281,4997.34,4992.14,1.08919,1.08919
02/11/2020 13:35:43.321,5282,5000.18,4993.68,1.0895,1.08951
02/11/2020 13:39:28.071,5283,5001.48,4993.68,1.08983,1.08984
02/11/2020 13:39:46.383,5284,5000,5000.00,1.09017,1.09016
02/11/2020 13:45:04.538,5285,5000.31,4999.01,1.08984,1.08985
02/11/2020 13:46:35.877,5286,5000.31,4997.71,1.08953,1.08952
02/11/2020 13:50:08.351,5287,5000.93,4998.33,1.08984,1.08985
02/11/2020 13:54:10.223,5288,5001.25,4997.35,1.09017,1.09017
02/11/2020 14:03:35.999,5289,5000,5000.00,1.09048,1.09049
02/11/2020 14:03:40.748,5290,4999.67,4998.37,1.09081,1.0908
02/11/2020 14:04:36.605,5291,5000.29,4997.69,1.09048,1.09049
02/11/2020 14:06:21.778,5292,4999.96,4996.06,1.09081,1.09081
02/11/2020 14:10:50.403,5293,4999.03,4995.13,1.09112,1.09112
02/11/2020 14:11:42.855,5294,5000.27,4995.07,1.09081,1.09081
02/11/2020 14:16:31.824,5295,4999.30,4992.80,1.09112,1.09113
02/11/2020 14:20:32.106,5296,4997.73,4991.23,1.09145,1.09144
02/11/2020 14:39:06.667,5297,4995.75,4989.25,1.09177,1.09177
02/11/2020 14:53:41.388,5298,4995.12,4989.92,1.09208,1.09209
02/11/2020 15:09:57.690,5299,4996.11,4992.21,1.09241,1.0924
02/11/2020 15:15:10.513,5300,4999.95,4994.75,1.09208,1.09208
02/11/2020 15:16:34.386,5301,5000.88,4994.38,1.09177,1.09177
02/11/2020 15:17:50.944,5302,5001.50,4998.90,1.09208,1.09208
02/17/2020 15:58:43.696,5303,5000,5000.00,1.08315,1.08316
02/17/2020 16:20:04.186,5304,4999.66,4998.36,1.08348,1.08348
02/17/2020 16:58:37.569,5305,4999.02,4996.42,1.08379,1.0838
02/17/2020 17:43:35.837,5306,5000.02,4996.12,1.08346,1.08346
02/17/2020 18:00:52.303,5307,5000.63,4995.43,1.08314,1.08315
02/17/2020 18:06:42.346,5308,5001.27,4998.67,1.08347,1.08347
02/17/2020 18:30:17.017,5309,5000,5000.00,1.08316,1.08316
02/17/2020 19:56:56.038,5310,4999.69,4998.39,1.08348,1.08347
02/18/2020 00:12:41.231,5311,5000.31,4997.71,1.08315,1.08316
02/18/2020 00:50:53.285,5312,5000.68,4996.78,1.08278,1.08278
02/18/2020 01:43:18.962,5313,5000.04,4997.44,1.08246,1.08247
02/18/2020 01:57:42.831,5314,5001.01,4997.11,1.08279,1.08279
02/18/2020 02:22:08.729,5315,5000,5000.00,1.08248,1.08248
02/18/2020 02:46:05.509,5316,4999.69,4998.39,1.08279,1.08279
02/18/2020 03:08:45.600,5317,4999.07,4996.47,1.0831,1.0831
02/18/2020 06:02:03.791,5318,4998.14,4994.24,1.08341,1.08341
02/18/2020 06:40:59.766,5319,4999.38,4994.18,1.0831,1.0831
02/18/2020 07:13:22.836,5320,4998.41,4991.91,1.08341,1.08342
02/18/2020 08:05:01.963,5321,5000.04,4993.54,1.0831,1.08309
02/18/2020 08:06:46.275,5322,5001.26,4993.46,1.08277,1.08278
02/18/2020 08:08:23.220,5323,5000,5000.00,1.0831,1.08311
02/18/2020 08:09:49.289,5324,4999.66,4998.36,1.08343,1.08343
02/18/2020 08:11:42.775,5325,5000.28,4997.68,1.08311,1.08312
02/18/2020 08:13:00.427,5326,5000.60,4996.70,1.08279,1.08279
02/18/2020 09:00:37.823,5327,4999.98,4997.38,1.08248,1.08248
02/18/2020 09:03:58.871,5328,5000.91,4997.01,1.08279,1.0828
02/18/2020 09:17:30.200,5329,5001.54,4996.34,1.08312,1.08314
02/18/2020 09:30:57.962,5330,5000,5000.00,1.0828,1.08279
02/18/2020 10:00:08.812,5331,5000.31,4999.01,1.08246,1.08248
02/18/2020 10:22:52.726,5332,5000.30,4997.70,1.08281,1.0828
02/18/2020 10:28:46.716,5333,5000.59,4996.69,1.08248,1.08249
02/18/2020 10:33:58.284,5334,5000.73,4995.53,1.08288,1.08281
02/18/2020 10:34:11.755,5335,5000.18,4993.68,1.08328,1.08326
02/18/2020 10:34:17.405,5336,4998.78,4993.58,1.0836,1.08361
02/18/2020 10:34:25.841,5337,5000.41,4993.91,1.08327,1.08328
02/18/2020 10:34:42.451,5338,5001.73,4993.93,1.08296,1.08295
02/18/2020 10:36:47.286,5339,5000,5000.00,1.08327,1.08328
02/18/2020 10:38:27.885,5340,5000.31,4999.01,1.08296,1.08295
02/18/2020 10:43:30.499,5341,5000.30,4997.70,1.08328,1.08328
02/18/2020 10:49:24.265,5342,5000.61,4996.71,1.08297,1.08297
02/18/2020 10:52:58.697,5343,5000.30,4996.40,1.08328,1.08328
02/18/2020 10:57:37.080,5344,5000.91,4995.71,1.08296,1.08297
02/18/2020 10:59:56.262,5345,5001.22,4994.72,1.08263,1.08264
02/18/2020 11:02:12.418,5346,5000,5000.00,1.08296,1.08297
02/18/2020 11:09:10.604,5347,4999.66,4998.36,1.08329,1.08329
02/18/2020 11:32:25.952,5348,5000.28,4997.68,1.08298,1.08298
02/18/2020 11:35:13.135,5349,4999.97,4996.07,1.08329,1.08329
02/18/2020 11:44:05.382,5350,5000.90,4997.00,1.08298,1.08298
02/18/2020 11:55:39.672,5351,5001.52,4996.32,1.08267,1.08267
02/18/2020 12:00:12.075,5352,5000,5000.00,1.08236,1.08236
02/18/2020 12:12:41.061,5353,5000.31,4999.01,1.08205,1.08205
02/18/2020 12:24:37.533,5354,5000.33,4997.73,1.08174,1.08172
02/18/2020 12:35:05.643,5355,4999.63,4997.03,1.08139,1.0814
02/18/2020 12:42:10.528,5356,5000.60,4996.70,1.08172,1.08171
02/18/2020 12:55:57.347,5357,4999.92,4994.72,1.08139,1.0814
02/18/2020 13:19:51.880,5358,4998.66,4993.46,1.08108,1.08107
02/18/2020 13:32:27.206,5359,4996.86,4992.96,1.08072,1.08074
02/18/2020 13:34:38.376,5360,4997.83,4995.23,1.08039,1.08039
02/18/2020 13:34:48.724,5361,4998.92,4995.02,1.08008,1.08006
02/18/2020 13:34:49.822,5362,4997.52,4994.92,1.07973,1.07975
02/18/2020 13:35:24.383,5363,4998.87,4994.97,1.07941,1.0794
02/18/2020 13:37:26.186,5364,5000.11,4994.91,1.07972,1.07973
02/18/2020 13:42:15.087,5365,5001.10,4994.60,1.08005,1.08004
02/18/2020 14:05:12.689,5366,5000,5000.00,1.07972,1.07972
02/18/2020 14:09:49.115,5367,5000.32,4999.02,1.07941,1.0794
02/18/2020 14:13:47.858,5368,5000.30,4997.70,1.07908,1.07909
02/18/2020 14:16:19.914,5369,4999.66,4997.06,1.07877,1.07876
02/18/2020 14:23:37.645,5370,5000.62,4996.72,1.07909,1.07909
02/18/2020 14:28:28.322,5371,5001.24,4996.04,1.0794,1.0794
02/18/2020 14:34:44.250,5372,5000,5000.00,1.07972,1.07971
02/18/2020 14:43:48.163,5373,4999.67,4998.37,1.08005,1.08004
02/18/2020 14:45:38.761,5374,5000.29,4997.69,1.07972,1.07973
02/18/2020 14:53:00.176,5375,4999.98,4996.08,1.08005,1.08004
02/18/2020 14:55:39.570,5376,4998.96,4995.06,1.08037,1.08038
02/18/2020 14:58:20.423,5377,4997.70,4992.50,1.0807,1.08069
02/18/2020 15:00:15.522,5378,4996.05,4990.85,1.08102,1.08102
02/18/2020 15:03:33.190,5379,4995.80,4991.90,1.08133,1.08133
02/18/2020 15:04:48.493,5380,4997.12,4993.22,1.08164,1.08164
02/18/2020 15:10:47.758,5381,4999.63,4994.43,1.08133,1.08133
02/18/2020 15:16:29.733,5382,5000.55,4994.05,1.08101,1.08102
02/18/2020 15:18:58.282,5383,5001.19,4998.59,1.08134,1.08133
02/23/2020 22:00:04.199,5384,5000,5000.00,1.0825,1.08289
02/23/2020 23:00:35.583,5385,4998.50,4998.50,1.08359,1.08361
02/23/2020 23:02:20.799,5386,4999.92,4998.62,1.08323,1.08326
02/23/2020 23:04:54.917,5387,4999.91,4997.31,1.0836,1.08358
02/23/2020 23:05:56.564,5388,4999.51,4995.61,1.08392,1.08394
02/23/2020 23:30:29.051,5389,5000.52,4996.62,1.08357,1.08359
02/23/2020 23:46:18.107,5390,4999.85,4994.65,1.08393,1.08392
02/24/2020 00:39:12.441,5391,5001.13,4995.93,1.0836,1.0836
02/24/2020 00:44:04.612,5392,5000,5000.00,1.08329,1.08329
02/24/2020 00:46:25.542,5393,5000.31,4999.01,1.08298,1.08298
02/24/2020 01:14:52.684,5394,5000.31,4997.71,1.08267,1.08267
02/24/2020 02:14:31.641,5395,5000.93,4998.33,1.08298,1.08299
02/24/2020 02:30:50.593,5396,5000.58,4996.68,1.08265,1.08266
02/24/2020 02:58:53.771,5397,4999.63,4995.73,1.08234,1.08233
